pj_no	jukyo	chiseki_js_hb	chiseki_kb_hb	yoto1	yoto2	kempei1	kempei2	yoseki1	yoseki2	josui	gesui	gas	usui	tateuri_su	tochiuri_su	joken_su	hy1f_date_su	hy2f_date_su	hy3f_date_su	road1_hk	road1_sb	road1_fi	road1_mg	road2_hk	road2_sb	road2_fi	road2_mg	road3_hk	road3_sb	road3_fi	road3_mg	road4_hk	road4_sb	road4_fi	road4_mg	kaoku_um	kaoku_hb	yheki_kotei	yheki_umu	yheki_yohi	gk_sho_kyori	gk_chu_kyori	kborjs	hw_status	toshikuiki1	toshikuiki2	kodochiku	chikukeikaku	keikakuroad	kaihatsukyoka	t53kyoka	hokakyoka	bokachiiki	minmenseki	hokakisei1	hokakisei2	hokakisei3	hokakisei4	kinshijiko	rosenka_hb	koji_hb	kijun_hb	mseki_yt_hb	mseki_rd_hb	mseki_dp_hb	tc_mseki_min_hb	tc_mseki_max_hb	tt_mseki_min_hb	tt_mseki_max_hb	tc_mseki_avg_hb	tt_mseki_avg_hb	fi4m_yohi	fi3m_yohi	fi4m_kyori	fi3m_kyori	bus_yohi	bus_hon	sho_conv	sho_super	sho_shoten	sho_market	shu_jutaku	shu_park	shu_shop	shu_factory	shu_hvline	shu_tower	shu_bochi	shu_sogi	shu_zoki	shu_kokyo	shu_highway	shu_kaido	shu_line_ari	shu_line_nashi	shu_soon	gk_yoc_tm	gk_sho_tm	gk_chu_tm	rs_e_kdate2	rs_e_kdate3	rs_e_parking	rs_e_zoki	rs_e_m_ari	rs_e_m_nashi	rs_e_tahata	rs_w_kdate2	rs_w_kdate3	rs_w_parking	rs_w_zoki	rs_w_m_ari	rs_w_m_nashi	rs_w_tahata	rs_s_kdate2	rs_s_kdate3	rs_s_parking	rs_s_zoki	rs_s_m_ari	rs_s_m_nashi	rs_s_tahata	rs_n_kdate2	rs_n_kdate3	rs_n_parking	rs_n_zoki	rs_n_m_ari	rs_n_m_nashi	rs_n_tahata	rosen_nm1	eki_nm1	bas_toho1	eki_kyori1	bastei_nm1	teiho1	rosen_nm2	eki_nm2	bas_toho2	eki_kyori2	bastei_nm2	teiho2
14	埼玉県熊谷市石原	312.06	312.06	第一種住居地域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	南	公道	6.0	11.1	北	公道	6.0	11.1			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	1100	1000	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（要）	（不要）	22条区域	0.0					（無）	32800	54000	63800	312.06	0.0	0.0	150.46	161.6	101.0	102.0	156.03	101.5	（不要）	（不要）	0.0	0.0	（不要）	0.0					○	○														9.0	14	13																					○								秩父鉄道秩父本線	石原	徒歩	16								
15	埼玉県ふじみ野市上福岡	73.26	85.0	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南西	公道	4.0	7.3			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.2	（無）	（不要）	280	750	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域						（無）	140000	174000	182000	73.26	0.0	0.0	73.26	73.26	105.16	105.16	73.26	105.16	（不要）	（不要）	0.0	0.0	（不要）		○	○			○															6.0	14	14		○						○							○							○							東武東上線	ふじみ野	徒歩	7								
16	埼玉県鶴ヶ島市大字太田ヶ谷	300.84	300.84	指定のない区域		60	0.0	200	0.0	公営	個別浄化槽	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	東	公道	8.0	15.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	300	300	実測	更地	市街化調整区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	300.0					（無）	74000	91200	104000	300.84	0.0	0.0	300.84	300.84	112.99	112.99	300.84	112.99	（不要）	（不要）	0.0	0.0	（不要）	0.0					○															8.0	4	4								○														○							東武東上線	鶴ヶ島	徒歩	32								
17	埼玉県草加市八幡町	99.93	100.0	第一種住居地域		60	0.0	200	0.0	私営	公共下水	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北	公道	5.1	5.8	西	私道	4.0	10.8			0.0	0.0			0.0	0.0	（有）	77.42	0.3	（無）	（不要）	480	960	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域						（無）	84000	99000	129000	100.0	0.0	0.0	100.42	100.42	101.02	101.02	100.0	101.02	（不要）	（不要）	0.0	0.0	（要）	35.0	○				○															10.0	6	12					○			○							○							○							東武伊勢崎線	新田	徒歩	21								
18	埼玉県新座市西堀	261.62	261.63	第一種低層住居専用地域		60	0.0	100	0.0	公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	北	公道	6.0	19.9			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.5	（無）	（不要）	116	2400	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	125000	195000	162000	261.62	0.0	0.0	130.81	130.81	105.99	105.99	130.81	105.99	（不要）	（不要）	0.0	0.0	（不要）		○				○															17.0	2	30	○							○							○														西武池袋線	清瀬	バス	7		5.0						
19	埼玉県春日部市新宿新田	165.28	165.28	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南東	私道	6.0	12.8			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	551	1500	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（要）	防火指定無						（無）	43000	65500	65900	132.23	33.05	0.0	132.23	132.23	105.16	105.16	132.23	105.16	（不要）	（不要）	0.0	0.0	（要）	20.0		○			○															15.0	7	19	○							○							○							○							東武野田線	南桜井	バス	6		3.0						
20	埼玉県飯能市山手町	275.42	275.42	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	個別プロパン	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	東	公道	2.9	27.0	南	公道	2.5	13.5			0.0	0.0			0.0	0.0	（無）	0.0	0.1	（無）	（不要）	160	720	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域						（無）	71000	70000	90000	275.42	0.0	0.0	137.71	137.71	100.83	100.83	137.71	103.92	（不要）	（要）	0.0	30.0	（不要）						○														○	2.0	2	9	○							○							○							○							西武池袋線	飯能	徒歩	10								
21	埼玉県鴻巣市北新宿	727.0	1090.78	第一種中高層住居専用地域		60	0.0	150	0.0	公営	公共下水	集中プロパン	宅内処理	3.0	0.0	0.0	0.0	3.0	0.0	西	公道	12.0	20.0			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.3	（無）	（不要）	1100	1100	実測	造成上り	市街化区域		指定無	（有）	（無）	（要）	（不要）	（不要）	防火指定無						（無）	0	57900	61600	727.0	0.0	0.0	200.0	288.0	106.81	117.58	242.33	111.09	（不要）	（不要）	0.0	0.0	（不要）		○				○															16.0	14	14																				○									JR高崎線	行田	徒歩	15								
22	埼玉県ふじみ野市福岡中央	112.39	112.39	第二種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	東	公道	3.4	20.8			0.0	0.0			0.0	0.0			0.0	0.0	（有）	85.11	0.3	（無）	（不要）	850	400	公簿	建物有	市街化区域		指定無	（無）	（有）	（不要）	（不要）	（不要）	防火指定無		景観法				（無）	130000	171000	173000	109.67	2.72	0.0	109.67	109.67	98.1	98.1	109.67	98.1	（不要）	（不要）	0.0	0.0	（不要）		○	○	○		○															8.0	11	5								○							○							○							東武東上線	上福岡	徒歩	10								
23	埼玉県富士見市水子	276.66	276.66	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	個別プロパン	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	南	公道	4.2	16.3			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（要）	1100	1400	実測	山林	市街化区域		指定無	（有）	（無）	（不要）	（不要）	（要）	準防火地域	125.0	景観法				（無）	0	196000	209000	259.46	17.2	0.0	129.73	129.73	93.0	93.0	129.73	93.0	（不要）	（不要）	0.0	0.0	（不要）						○						○		○							8.0	14	18	○														○										○				東武東上線	みずほ台	徒歩	10								
24	埼玉県所沢市大字久米	99.2	99.2	第一種住居地域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南	私道	4.0	10.5			0.0	0.0			0.0	0.0			0.0	0.0	（有）	77.0	0.3	（無）	（不要）	960	720	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	100000	147000	147000	99.2	0.0	0.0	99.2	99.2	88.0	88.0	99.2	88.0	（不要）	（不要）	0.0	0.0	（不要）			○			○															7.0	12	9	○							○														○							西武池袋線	西所沢	徒歩	17								
25	埼玉県蓮田市西新宿	529.77	531.27	第一種低層住居専用地域		60	0.0	100	0.0	公営	公共下水	個別プロパン	宅内処理	4.0	0.0	0.0	0.0	4.0	0.0	東	公道	4.0	18.0	南	公道	6.0	21.0			0.0	0.0			0.0	0.0	（無）	0.0	0.2	（無）	（不要）	810	1020	公簿	更地	市街化区域		指定無	（無）	（無）	（要）	（不要）	（不要）	防火指定無						（無）	59000	74200	118000	529.77	0.0	0.0	130.05	139.62	105.99	105.99	132.44	105.99	（不要）	（不要）	0.0	0.0	（不要）						○															6.0	11	13	○							○													○	○							JR東北本線【宇都宮線】	白岡	徒歩	22								
26	埼玉県さいたま市緑区大字三室	132.24	132.0	第一種低層住居専用地域	第一種住居地域	50	60.0	100	200.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	東	公道	4.0	8.0			0.0	0.0			0.0	0.0			0.0	0.0	（有）	65.41	0.0	（無）	（不要）	1700	1800	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域	0.0	景観地区	土壌汚染対策法			（無）	97000	137000	118000	132.24	0.0	0.0	132.24	132.24	108.06	108.06	132.24	108.06	（不要）	（不要）	0.0	0.0	（要）	114.0					○															7.0	22	23								○							○									○					JR京浜東北線	北浦和	バス	12		8.0						
27	埼玉県川越市的場北	92.07	92.07	第一種低層住居専用地域		50	0.0	100	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	西	公道	4.0	11.3			0.0	0.0			0.0	0.0			0.0	0.0	（有）	61.96	0.4	（無）	（不要）	1040	1600	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域						（無）	105000	127000	127000	92.07	0.0	0.0	92.07	92.07	87.0	87.0	92.07	87.0	（不要）	（不要）	0.0	0.0	（不要）			○			○															9.0	13	20	○														○							○							東武東上線	霞ヶ関	徒歩	9								
28	埼玉県南埼玉郡宮代町大字和戸	157.47	157.47	指定のない区域		50	0.0	100	0.0	公営	公共下水	集中プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北西	公道	4.5	11.2			0.0	0.0			0.0	0.0			0.0	0.0	（有）	92.06	0.1	（無）	（不要）	1800	1800	公簿	建物有	市街化調整区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無						（無）	0	50500	20200	157.47	0.0	0.0	157.47	157.47	105.99	105.99	157.47	105.99	（不要）	（不要）	0.0	0.0	（不要）		○				○															27.0	23	23	○							○							○							○							東武伊勢崎線	和戸	徒歩	30								
29	埼玉県さいたま市桜区大字白鍬	234.95	231.97	第二種中高層住居専用地域		60		200		公営	公共下水	都市ガス	宅内処理	2.0	0.0	0.0	0.0	2.0	0.0	北西	公道	4.0	19.1	南	法定外	2.0	13.4			0.0	0.0			0.0	0.0	（有）	65.3	0.1	（無）	（不要）	1600	2620	公簿	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	準防火地域		景観地区				（無）	105000	143000	132000	234.95			117.37	117.58	105.0	105.0	117.47	105.0	（不要）	（不要）	0.0	0.0	（要）	54.0		○			○															5.0	20	33	○									○					○							○							JR京浜東北線	大宮	バス	17		4.0						
30	埼玉県三郷市早稲田	119.82	119.82	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北	公道	6.0	8.9			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	700	1700	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	防火指定無	120.0					（無）	110000	134000	134000	119.82	0.0	0.0	119.82	119.82	99.0	99.0	119.82	99.0	（不要）	（不要）	0.0	0.0	（不要）	0.0																				10.0	9	22	○							○							○							○							JR武蔵野線	三郷	徒歩	8								
31	埼玉県狭山市大字堀兼	300.23	305.88	第一種低層住居専用地域		60	0.0	200	0.0	公営	個別浄化槽	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	北西	公道	7.4	12.5			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.7	（無）	（要）	560	400	公簿	更地	市街化調整区域		指定無	（無）	（無）	（要）	（不要）	（不要）	防火指定無	150.0					（無）	87000	108000	110000	305.88	0.0	0.0	299.96	299.96	109.51	109.51	305.88	109.51	（不要）	（不要）	0.0	0.0	（不要）																					19.0	7	5			○					○													○								西武新宿線	入曽	徒歩	25								
32	埼玉県八潮市中央	130.0	130.0	近隣商業地域		80	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	西	公道	8.0	9.9			0.0	0.0			0.0	0.0			0.0	0.0	（無）	0.0	0.0	（無）	（不要）	240	350	公簿	更地	市街化区域		第2種	（有）	（無）	（不要）	（不要）	（不要）	準防火地域						（無）	105000	135000	113000	130.0	0.0	0.0	130.0	130.0	105.99	105.99	130.0	105.99	（不要）	（不要）	0.0	0.0	（不要）		○						○									○				9.0	3	5	○							○														○							首都圏新都市鉄道つくばエクスプレス	八潮	バス	10		4.0						
33	埼玉県さいたま市岩槻区西町	141.23	141.23	第一種低層住居専用地域		50	0.0	80	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南東	公道	2.7	9.6			0.0	0.0			0.0	0.0			0.0	0.0	（有）	132.1	0.2	（無）	（不要）	800	800	公簿	造成上り	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	準防火地域	100.0					（無）	82000	100000	167000	135.1	6.13	0.0	141.23	141.23	0.0	0.0	135.1	0.0	（不要）	（不要）	0.0	0.0	（不要）						○															7.0	10	10								○														○							東武野田線	岩槻	徒歩	8								
34	埼玉県久喜市本町	178.31	178.3	第一種住居地域		60	0.0	200	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	東	公道	4.0	11.1			0.0	0.0			0.0	0.0			0.0	0.0	（有）	80.16	0.3	（無）	（不要）	900	220	実測	建物有	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域	0.0					（無）	66000	94500	95000	133.76	44.55	0.0	178.31	178.31	108.06	108.06	133.76	108.06	（不要）	（不要）	0.0	0.0	（不要）		○				○															14.0	12	3	○							○									○							○					JR東北本線【宇都宮線】	久喜	徒歩	19								
35	埼玉県川越市広谷新町	183.32	183.0	第二種低層住居専用地域		50	0.0	100	0.0	公営	公共下水	都市ガス	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	東	公道	8.0	11.3	北	公道	6.0	13.1	西	公道	4.5	11.8			0.0	0.0	（無）	0.0	0.4	（無）	（不要）	320	1760	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域						（無）	69000	87600	87000	183.0	0.0	0.0	183.32	183.32	102.68	102.68	183.0	102.68	（不要）	（不要）	0.0	0.0	（不要）						○															6.0	4	22															○														東武東上線	鶴ヶ島	徒歩	20								
36	埼玉県深谷市上野台	134.68	133.76	第一種中高層住居専用地域		60	0.0	200	0.0	公営	公共下水	個別プロパン	宅内処理	1.0	0.0	0.0	0.0	1.0	0.0	南	公道	6.0	10.1			0.0	0.0			0.0	0.0			0.0	0.0	（有）	89.0	0.3	（無）	（不要）	910	566	公簿	更地	市街化区域		指定無	（無）	（無）	（不要）	（不要）	（不要）	22条区域						（無）	46000	45500	55500	134.68	0.0	0.0	134.68	134.68	108.88	108.88	134.68	108.88	（不要）	（不要）	0.0	0.0	（不要）						○															13.0	12	8	○							○													○	○							JR高崎線	深谷	徒歩	13								
