id	pj_no	keiyaku_pr	tc_mseki	tt_mseki	levelplan	fukuin	road_st	magutchi	setsudo_hi	setsudo_kj	jigata	hiatari	niwasaki	garage	kobetsu1	kobetsu2	kobetsu3	kobetsu4
train_0048	30	30300000	119.82	99.0	2F/4LDK+S	6.0	問題なし	8.9	北	普通	整形地	普通	3.2	1	裏道			
train_0049	31	27000000	299.96	109.51	2F/4LDK	7.3	問題なし	12.5	西	普通	整形地	良い	12.0	2				
train_0050	32	30000000	129.88	105.99	2F/4LDK	8.0	問題なし	10.0	西	普通	整形地	普通	3.84	2				
train_0051	33	21800000	141.23	0.0		6.0	問題なし	9.6	南	良い	整形地	良い	0.0	0				
train_0052	34	29000000	178.31	108.06	2F/4LDK	4.0	問題なし	2.0	東	普通	敷地延長	普通	3.0	2				
train_0053	35	23500000	183.32	102.68	2F/4LDK	6.0	問題なし	3.0	西	普通	整形地	良い	1.0	3	三方路			
train_0054	36	22800000	134.68	108.88	2F/4LDK	6.0	問題なし	10.2	南	良い	敷地延長	良い	4.48	2				
train_0055	37	32300000	110.01	86.94	2F/4LDK	8.0	問題なし	13.4	東	良い	整形地	良い	5.0	2				
train_0056	37	27000000	100.0	79.9	2F/3LDK	8.0	問題なし	2.6	東	良い	敷地延長	良い	2.0	1				
train_0057	37	27000000	101.32	80.98	2F/3LDK	8.0	問題なし	2.6	東	良い	敷地延長	良い	3.0	2				
train_0058	38	29000000	111.93	90.0	2F/4LDK	6.2	問題なし	8.6	西	普通	整形地	普通	3.0	2				
train_0059	39	22800000	129.78	97.5	2F/4LDK	5.0	問題なし	2.7	東	普通	敷地延長	普通	2.0	2				
train_0060	39	23300000	125.86	95.22	2F/4LDK	6.0	問題なし	3.0	東	良い	敷地延長	良い	5.0	2				
train_0061	39	23800000	121.38	96.46	2F/4LDK	6.0	問題なし	7.8	北	良い	整形地	普通	2.0	2				
train_0062	39	26800000	132.51	103.5	2F/4LDK	6.0	問題なし	11.4	東＋南	良い	整形地	良い	5.0	2				
train_0063	39	26800000	130.75	97.29	2F/4LDK	6.0	問題なし	9.4	南	良い	整形地	良い	5.0	2				
train_0064	39	22000000	128.18	95.43	2F/4LDK	6.0	問題なし	3.0	東	良い	敷地延長	普通	2.0	2				
train_0065	39	26900000	121.36	96.88	2F/4LDK	6.0	問題なし	7.8	北	良い	整形地	普通	2.0	2				
train_0066	39	24800000	121.43	96.25	2F/4LDK	6.0	問題なし	11.4	東＋北	良い	整形地	良い	5.0	2				
train_0067	39	22800000	133.71	95.22	2F/4LDK	5.0	問題なし	2.7	東	普通	敷地延長	普通	2.0	2				
train_0068	39	24800000	119.49	95.12	2F/4LDK	5.0	問題なし	6.6	東	普通	整形地	良い	2.0	2				
train_0069	39	25000000	130.73	97.29	2F/4LDK	6.0	問題なし	6.3	南	良い	整形地	良い	5.0	2				
train_0070	40	21800000	96.13	98.82	2F/4LDK	11.0	問題なし	7.8	東	普通	整形地	普通	0.1	2	裏道			
train_0071	41	29900000	143.78	108.06	2F/4LDK	4.2	問題なし	10.1	北西	普通	整形地	普通	3.0	2				
train_0072	42	22500000	126.68	99.36	2F/4LDK	4.2	問題なし	10.5	北西	普通	不整形地	普通	1.8	2				
train_0073	42	22500000	126.68	99.37	2F/4LDK	4.2	問題なし	8.7	北西	普通	不整形地	普通	4.0	2				
train_0074	43	18800000	182.84	96.0	2F/4LDK	4.0	問題なし	13.9	北	普通	整形地	良い	9.0	2	角地			
train_0075	43	16300000	203.45	96.0	2F/4LDK	4.0	問題なし	3.0	北	普通	整形地	良い	9.0	2				
train_0076	43	15800000	158.13	96.0	2F/4LDK	4.0	問題なし	19.5	西	普通	整形地	良い	10.0	2				
train_0077	43	17800000	235.35	96.0	2F/4LDK	4.0	問題なし	12.1	西	普通	整形地	良い	9.0	2	角地	ごみ置き場前		
train_0078	43	16800000	153.5	96.0	2F/4LDK	4.0	問題なし	8.4	東	普通	整形地	良い	7.0	2	角地			
train_0079	43	16800000	153.51	96.0	2F/4LDK	4.0	問題なし	10.5	東	普通	整形地	良い	6.0	2				
train_0080	43	17500000	153.77	96.0	2F/4LDK	4.0	問題なし	7.2	東	普通	整形地	良い	6.0	2	角地			
train_0081	44	20800000	133.63	95.0	2F/4LDK	6.0	問題なし	9.6	東	普通	不整形地	良い	1.0	2				
train_0082	44	17800000	125.82	93.0	2F/4LDK	6.0	問題なし	2.7	東	悪い	敷地延長	普通	2.0	2				
train_0083	45	32300000	200.31	114.26	2F/4LDK	4.2	問題なし	12.1	北東	良い	整形地	良い	6.1	3				
train_0084	45	39000000	229.98	113.44	2F/4LDK	4.1	問題なし	9.0	南東	良い	整形地	良い	14.9	3				
train_0085	46	22962000	114.71	102.27	2F/4LDK	4.0	問題なし	13.3	南西	良い	整形地	良い	9.0	2			嫌悪施設隣接	行き止まり途中
train_0086	47	32600000	142.54	108.06	2F/4LDK	7.4	歩道あり	8.8	南	良い	整形地	普通	7.1	2				
train_0087	48	43000000	139.78	105.57	2F/4LDK	4.0	問題なし	9.0	南	良い	整形地	良い	6.0	2	ごみ置き場前			
train_0088	48	42000000	135.76	106.94	2F/4LDK	4.0	問題なし	9.0	南	良い	整形地	良い	6.0	2				
train_0089	49	38100000	83.1	81.98	2F/3LDK	4.0	問題なし	11.42	西＋北	良い	整形地	普通	3.2	1				
train_0090	50	32800000	123.5	98.0	2F/4LDK	6.0	問題なし	11.8	東	普通	整形地	普通	3.8	2	信号近い			
train_0091	50	37800000	123.49	98.0	2F/4LDK	6.0	問題なし	10.1	東	普通	整形地	普通	3.0	2	信号近い			
train_0092	50	36800000	123.5	97.5	2F/4LDK	6.0	問題なし	6.4	東	普通	整形地	普通	3.0	2	信号近い			
train_0093	50	37000000	124.1	98.8	2F/4LDK	6.0	問題なし	12.0	西	普通	整形地	普通	5.0	2	信号近い			
train_0094	50	33000000	123.5	98.0	2F/4LDK	6.0	問題なし	13.5	東	普通	整形地	普通	5.0	2	信号近い			
train_0095	51	31800000	197.61	111.78	2F/4LDK	5.0	問題なし	10.0	西	良い	整形地	良い	4.0	2				
train_0096	52	20500000	279.44	105.99	2F/4LDK	4.3	問題なし	2.0	東	良い	敷地延長	良い	4.0	4				
train_0097	52	23000000	279.46	105.99	2F/4LDK	4.3	問題なし	2.0	東	良い	敷地延長	良い	4.0	4				
train_0098	52	20900000	270.03	103.5	2F/4LDK	4.3	問題なし	2.0	東	良い	整形地	良い	4.0	4				
train_0099	53	29800000	108.58	82.62	2F/3LDK	4.0	問題なし	11.71	南東	良い	整形地	良い	6.0	1	裏道			
train_0100	53	28500000	108.53	83.43	2F/3LDK	4.0	問題なし	13.63	南東	良い	整形地	良い	6.0	1	裏道			
train_0101	53	28800000	108.79	80.99	2F/3LDK	4.0	問題なし	13.56	南東	良い	整形地	良い	6.0	1	裏道			
train_0102	54	22000000	135.45	100.19	2F/4LDK	4.0	問題なし	2.7	北	良い	敷地延長	良い	3.0	2				
train_0103	54	24900000	107.67	103.71	2F/4LDK	4.0	問題なし	6.0	北	良い	整形地	良い	3.0	2				
train_0104	55	18200000	146.31	102.0	2F/4LDK	6.0	問題なし	8.4	北	良い	整形地	普通	4.42	2	眺望良			
train_0105	56	30900000	67.1	111.78	3F/4LDK	6.0	問題なし	6.22	南	普通	整形地	普通	1.98	1				
train_0106	57	26000000	164.24	105.77	2F/4LDK	6.0	問題なし	8.5	南	良い	整形地	良い	6.0	3				
train_0107	57	25000000	160.19	105.37	2F/4LDK	6.0	問題なし	8.4	南	良い	整形地	良い	6.0	3				
train_0108	57	26800000	175.52	105.99	2F/4LDK	6.0	問題なし	9.8	南	良い	整形地	良い	6.0	3				
train_0109	58	28800000	213.97	110.96	2F/4LDK+S	6.0	問題なし	6.8	北	普通	不整形地	普通	6.0	3	眺望良			
train_0110	58	29600000	201.0	110.96	2F/4LDK+S	6.0	問題なし	9.2	北	良い	整形地	普通	6.0	3	眺望良			
train_0111	59	19800000	105.0	98.33	2F/4LDK	3.6	問題なし	9.2	西	良い	整形地	良い	2.6	1				
train_0112	60	31500000	100.07	101.65	2F/4LDK	6.0	問題なし	11.1	東	普通	整形地	良い	2.88	1	眺望良			
train_0113	60	23800000	100.56	88.68	2F/4LDK	6.0	問題なし	2.5	東	普通	敷地延長	悪い	2.41	1	嫌悪施設隣接			
train_0114	60	26800000	100.04	96.38	2F/4LDK	5.9	問題なし	5.7	東	普通	整形地	普通	5.8	1	眺望良			
train_0115	60	30300000	102.63	98.82	2F/4LDK	6.0	問題なし	2.7	東	普通	敷地延長	普通	2.17	1	宅内高低差あり			
train_0116	61	26000000	70.0	93.0	3F/4LDK	7.7	問題なし	8.4	東＋南	良い	整形地	良い	1.0	1	角地	二方路		
train_0117	62	34000000	126.13	98.41	2F/4LDK	10.0	問題なし	3.0	南	普通	敷地延長	良い	1.0	2	信号近い	交通量多い		
train_0118	62	38300000	126.02	98.0	2F/4LDK	10.0	問題なし	11.6	南	普通	整形地	良い	1.0	2	信号近い	交通量多い		
train_0119	62	25800000	128.91	0.0	土地売り	6.0	問題なし	3.0	北	普通	敷地延長	普通	0.0	0	裏道			
train_0120	62	35300000	115.58	98.81	2F/4LDK	6.0	問題なし	10.3	北	普通	整形地	普通	1.0	2	裏道	ごみ置き場前		
train_0121	62	32000000	130.02	100.44	2F/4LDK	6.0	問題なし	3.0	北	普通	敷地延長	普通	1.0	2	裏道			
train_0122	62	33800000	126.45	92.74	2F/4LDK	10.0	問題なし	3.0	南	普通	敷地延長	良い	1.0	2	信号近い	交通量多い		
train_0123	63	24217038	159.36	107.44	2F/4LDK	4.0	未舗装	14.0	西	普通	整形地	良い	5.5	2	行き止まり途中	眺望良		
train_0124	64	33800000	110.73	108.57	2F/4LDK	6.0	問題なし	7.6	西	良い	整形地	良い	1.5	2				
train_0125	65	23100000	92.11	91.93	2F/4LDK	4.0	問題なし	8.7	東	普通	整形地	良い	3.39	1	行き止まり途中			
train_0126	66	34800000	92.89	103.68	3F/3LDK+S	8.0	問題なし	5.8	北	良い	整形地	普通	3.22	2				
train_0127	67	20300000	109.77	104.34	2F/4LDK	6.0	問題なし	15.95	北西	普通	整形地	良い	5.24	2				
train_0128	67	26500000	167.64	102.26	2F/4LDK	6.0	問題なし	2.1	北西	普通	敷地延長	良い	9.4	2				
train_0129	67	25800000	138.68	102.68	2F/4LDK	6.0	問題なし	2.1	北西	普通	敷地延長	良い	5.6	2				
train_0130	68	30500000	180.33	111.99	2F/4LDK	5.0	問題なし	16.8	東	良い	整形地	良い	7.15	2				
train_0131	69	22000000	155.64	105.99	2F/4LDK	17.7	歩道+緑地帯あり	16.1	東＋南西	良い	不整形地	良い	9.6	2	街道沿い	二方路	交通量多い	角地
train_0132	70	22300000	120.0	99.0	2F/4LDK	6.0	問題なし	7.14	南	普通	整形地	普通	7.0	2	踏切付近			
train_0133	70	25800000	123.98	101.0	2F/4LDK	6.0	問題なし	8.0	西	普通	整形地	普通	6.0	2	踏切付近			
train_0134	70	19800000	115.08	98.0	2F/4LDK	6.0	問題なし	5.72	西	普通	整形地	普通	6.0	2	裏道			
train_0135	70	22800000	115.07	102.0	2F/4LDK	6.0	問題なし	11.43	南	普通	整形地	普通	5.0	2	角地			
train_0136	70	19300000	136.69	98.0	2F/4LDK	6.0	問題なし	12.65	西	普通	不整形地	普通	2.0	1	角地			
train_0137	70	21800000	119.5	98.0	2F/4LDK	6.0	問題なし	9.06	南	普通	整形地	普通	3.5	2	踏切付近			
train_0138	70	19800000	126.92	98.0	2F/4LDK	6.0	問題なし	3.7	南	普通	不整形地	普通	4.0	1	行き止まり			
train_0139	70	23800000	135.01	95.0	2F/4LDK	6.0	問題なし	7.32	南	普通	整形地	普通	8.0	2	行き止まり			
train_0140	71	24300000	165.0	114.26	2F/4LDK	6.0	問題なし	8.6	北東	普通	整形地	良い	4.8	3				
train_0141	71	24600000	166.0	105.15	2F/4LDK	6.0	問題なし	9.2	北東	普通	整形地	良い	4.4	3				
train_0142	72	34000000	164.38	108.89	2F/4LDK	4.0	問題なし	10.0	南東	良い	整形地	良い	3.0	2				
train_0143	73	31000000	145.44	100.19	2F/4LDK	4.0	問題なし	7.9	西	良い	整形地	悪い	2.0	2			行き止まり	
train_0144	73	24000000	158.49	106.6	2F/4LDK	4.0	問題なし	3.0	西	良い	敷地延長	悪い	2.0	2			行き止まり	
train_0145	74	29800000	215.67	103.91	2F/4LDK	4.0	未舗装	3.9	南	普通	不整形地	良い	5.0	2	眺望良		裏道	宅内高低差あり
train_0146	75	22800000	102.85	104.33									0.0	0				
train_0147	76	25000000	151.3	105.57	2F/4LDK	6.7	問題なし	10.0	北西	悪い	整形地	普通	3.87	2				
train_0148	76	22800000	136.06	105.16	2F/4LDK	6.0	問題なし	7.1	南	良い	整形地	良い	2.7	2				
train_0149	76	25800000	133.33	103.92	2F/4LDK	6.0	問題なし	14.8	南	良い	整形地	良い	1.83	2				
train_0150	77	29000000	110.34	94.76	2F/4LDK	4.7	問題なし	20.0	西	良い	整形地	普通	4.0	2	前面道が坂途中			
train_0151	77	23800000	110.3	98.01	2F/4LDK	4.0	問題なし	9.6	東	良い	整形地	普通	3.0	2	前面道が坂途中			
train_0152	78	23990000	102.19	105.99	2F/4LDK	4.0	問題なし	8.8	南	良い	整形地	良い	1.9	1	行き止まり			
train_0153	79	30000000	100.5	103.68	2F/4LDK	4.0	問題なし	9.3	東	普通	整形地	普通	5.4	1				
train_0154	80	28800000	84.99	101.02	2F/3LDK	4.5	問題なし	7.7	北	良い	不整形地	悪い	2.0	1				
train_0155	81	30000000	167.01	105.57	2F/4LDK	6.0	問題なし	13.6	北西	普通	整形地	良い	5.0	2				
train_0156	82	23800000	129.0	114.21	2F/4LDK	4.0	問題なし	5.6	北	良い	整形地	良い	2.8	1	角地			
train_0157	82	20800000	159.0	115.0	2F/4LDK	5.1	問題なし	7.5	西	良い	整形地	良い	3.65	1	宅内高低差あり			
train_0158	82	16554000	110.0	110.0	2F/4LDK	4.0	問題なし	12.4	西	良い	整形地	良い	2.12	1	宅内高低差あり			
train_0159	83	39000000	135.0	105.99	2F/4LDK	6.0	問題なし	13.1	南西＋北西	良い	整形地	良い	3.33	2	角地			
train_0160	83	36500000	141.75	112.61	2F/4LDK	6.0	問題なし	11.2	北西	良い	整形地	良い	6.97	2				
train_0161	83	36000000	137.64	105.16	2F/4LDK	6.0	問題なし	8.5	北東	良い	整形地	良い	3.0	2				
train_0162	83	36800000	137.81	105.98	2F/4LDK	6.0	問題なし	8.5	南西	良い	整形地	良い	1.82	2				
train_0163	83	35000000	135.01	105.98	2F/4LDK	6.0	問題なし	8.3	北西＋北東	良い	不整形地	良い	2.42	2	角地	ごみ置き場前		
train_0164	84	26900000	137.27	95.89	2F/4LDK	6.0	問題なし	8.4	南	良い	整形地	良い	6.0	2				
train_0165	85	26300000	100.67	95.84	2F/4LDK	4.2	問題なし	9.1	北西	良い	整形地	普通	1.0	2			ごみ置き場前	嫌悪施設隣接
train_0166	86	25800000	223.74	102.68	2F/4LDK	6.0	問題なし	11.1	南	良い	整形地	良い	11.0	3				
train_0167	86	23800000	223.8	106.82	2F/5LDK	6.0	問題なし	11.1	南	良い	整形地	良い	11.0	3				
train_0168	86	25000000	223.78	105.99	2F/4LDK	6.0	問題なし	11.1	南	良い	整形地	良い	7.0	3				
train_0169	86	22100000	223.78	105.16	2F/4LDK	6.0	問題なし	11.1	北	良い	整形地	良い	7.0	3				
train_0170	86	21800000	223.77	106.81	2F/3LDK	6.0	問題なし	11.1	北	良い	整形地	良い	3.0	3				
train_0171	86	22500000	223.76	105.58	2F/4LDK	6.0	問題なし	11.1	北	良い	整形地	良い	6.0	3				
train_0172	87	19800000	93.81	101.02	2F/3LDK+S	4.0	問題なし	13.4	西	普通	整形地	普通	2.7	1				
train_0173	88	34000000	102.68	93.0	2F/4LDK	5.9	問題なし	7.7	西＋北	良い	整形地	普通	7.0	2		角地		
train_0174	89	26800000	130.11	103.5	2F/4LDK	6.0	問題なし	8.8	南	良い	整形地	良い	6.0	2				
train_0175	89	28500000	130.09	103.5	2F/4LDK	6.0	問題なし	8.7	南	良い	整形地	良い	5.0	1				
train_0176	89	24200000	130.1	101.85	2F/4LDK	6.0	問題なし	8.7	南	良い	整形地	良い	5.0	2				
train_0177	89	30000000	130.08	104.33	2F/4LDK	6.0	問題なし	7.0	南＋西	良い	整形地	良い	4.0	2				
train_0178	89	24800000	130.08	98.53	2F/4LDK	9.0	問題なし	8.0	北	良い	整形地	普通	1.0	2				
train_0179	89	26000000	147.01	101.02	2F/4LDK	6.0	問題なし	2.7	西	普通	不整形地	普通	2.0	2				
train_0180	89	22800000	147.01	104.74	2F/4LDK	9.0	問題なし	3.0	北	良い	敷地延長	普通	1.0	2				
train_0181	89	27300000	130.1	106.82	2F/4LDK	6.0	問題なし	8.9	西＋北	良い	整形地	普通	2.0	2				
train_0182	89	24100000	130.31	101.85	2F/4LDK	9.0	問題なし	8.0	北	良い	整形地	普通	1.0	2				
train_0183	89	23300000	147.01	103.08	2F/4LDK	9.0	問題なし	3.0	北	良い	敷地延長	普通	2.0	2				
train_0184	89	25600000	130.09	98.53	2F/4LDK	9.0	問題なし	7.8	北	良い	整形地	普通	1.0	2				
train_0185	89	26300000	130.09	101.85	2F/4LDK	6.0	問題なし	7.3	南	良い	整形地	良い	5.0	2				
train_0186	89	29600000	130.1	110.13	2F/4LDK	6.0	問題なし	10.1	西	良い	整形地	普通	2.0	2				
train_0187	90	26800000	100.44	96.05	2F/4LDK	4.0	問題なし	8.7	西	良い	整形地	普通	3.0	2				
train_0188	91	43800000	111.35	0.0		4.0	問題なし	8.7	南	良い	整形地	良い	0.0	0	車進入困難			
train_0189	91	45000000	128.16	0.0		4.0	問題なし	6.6	南	良い	整形地	良い	0.0	0	車進入困難			
train_0190	91	33000000	123.9	0.0		4.0	問題なし	2.7	南	良い	間口狭・奥行長	良い	0.0	0	車進入困難			
train_0191	91	47800000	125.4	0.0		4.0	問題なし	8.8	東	良い	整形地	良い	0.0	0	車進入困難			
train_0192	91	52000000	100.0	100.0	2F/4LDK	4.0	問題なし	6.7	南	良い	整形地	良い	7.4	1	車進入困難			
train_0193	91	43800000	104.0	100.0	2F/4LDK	4.0	問題なし	8.7	南	良い	整形地	良い	5.1	1	ごみ置き場前			
train_0194	92	11000000	551.38	0.0		6.0	問題なし	8.1	南東	悪い	不整形地	普通	0.0	0				
train_0195	92	11000000	472.88	0.0		6.0	問題なし	8.1	南東	悪い	不整形地	普通	0.0	0				
train_0196	93	30980000	118.92	104.33	2F/5LDK	8.0	問題なし	3.0	南	普通	敷地延長	普通	2.0	2				
train_0197	93	29900000	111.35	111.79	2F/5LDK	8.0	問題なし	9.0	南	普通	整形地	普通	3.0	2				
train_0198	94	35900000	130.82	107.23	2F/4LDK	5.9	問題なし	16.8	西	良い	不整形地	良い	3.69	2				
train_0199	94	36500000	130.64	108.89	2F/4LDK	4.0	問題なし	10.6	南	良い	整形地	良い	6.3	2				
train_0200	95	31300000	108.52	102.26	2F/4LDK	3.3	問題なし	9.9	西	普通	整形地	普通	3.0	2				
train_0201	95	29800000	117.52	95.22	2F/4LDK	3.3	問題なし	2.6	西	普通	敷地延長	普通	2.8	2				
train_0202	95	35800000	131.16	101.44	2F/4LDK	3.3	問題なし	7.5	西	普通	整形地	普通	1.9	2				
train_0203	96	26400000	158.7	104.74	2F/5LDK	8.0	問題なし	11.7	西	普通	整形地	普通	4.4	2				
train_0204	96	25400000	158.69	105.57	2F/5LDK	8.0	問題なし	11.5	西	普通	整形地	普通	4.4	2				
train_0205	97	44800000	103.3	105.16	3F/4LDK	4.0	問題なし	3.1	北	普通	間口狭・奥行長	普通	1.0	2				
train_0206	97	41800000	101.52	97.29	2F/4LDK	4.0	問題なし	4.0	北	普通	敷地延長	普通	1.0	2				
train_0207	97	43800000	103.29	101.02	2F/4LDK+S	4.3	問題なし	8.4	南東	普通	整形地	普通	3.0	1				
train_0208	97	45800000	103.3	104.95	2F/4LDK	8.0	問題なし	5.0	西＋南	良い	整形地	良い	1.0	1				
train_0209	97	37600000	110.1	100.19	2F/4LDK	6.0	問題なし	2.8	南西	普通	敷地延長	普通	1.0	1				
train_0210	97	44000000	103.3	103.5	2F/4LDK	4.3	問題なし	8.5	南東	良い	整形地	良い	2.0	2				
train_0211	97	43800000	103.29	99.36	2F/4LDK	4.5	問題なし	8.2	南	良い	整形地	良い	5.0	1				
train_0212	97	38300000	100.04	97.91	2F/4LDK	4.2	問題なし	4.5	北西	普通	不整形地	普通	1.0	1				
train_0213	97	35000000	111.56	87.98	2F/4LDK	6.0	問題なし	2.8	北東	普通	敷地延長	普通	1.0	1				
train_0214	97	44800000	101.57	104.75	3F/4LDK	4.0	問題なし	3.1	北	普通	間口狭・奥行長	普通	1.0	2				
train_0215	97	33500000	108.74	85.7	3F/4LDK	4.0	問題なし	7.9	北西	普通	整形地	普通	1.0	1				
train_0216	97	40300000	101.53	98.53	2F/3LDK	4.3	問題なし	7.1	北西	普通	整形地	普通	2.0	1				
train_0217	97	35800000	111.5	88.39	2F/4LDK	6.2	問題なし	10.6	南	良い	不整形地	良い	6.0	2				
train_0218	97	38800000	101.51	98.95	2F/4LDK	6.0	問題なし	9.4	南西	普通	不整形地	良い	3.0	1				
train_0219	97	38990000	100.1	96.46	3F/5LDK	11.2	歩道あり	6.4	北東	普通	不整形地	普通	1.0	1				
train_0220	97	35000000	110.1	99.12	3F/4LDK	4.0	問題なし	7.3	南西	普通	整形地	良い	2.0	2				
