PassengerId,Pclass,Sex,Age,0_Dr,0_Master,0_Miss,0_Mr,0_Mrs,SibSp,Fare,C,Q,S
112,3,1,14,0,0,1,0,0,1,14.4542,1,0,0
113,3,0,22,0,0,0,1,0,0,8.05,0,0,1
114,3,1,20,0,0,1,0,0,1,9.825,0,0,1
115,3,1,17,0,0,1,0,0,0,14.4583,1,0,0
116,3,0,21,0,0,0,1,0,0,7.925,0,0,1
117,3,0,70,0,0,0,1,0,0,7.75,0,1,0
118,2,0,29,0,0,0,1,0,1,21.0,0,0,1
119,1,0,24,0,0,0,1,0,0,247.5208,1,0,0
120,3,1,2,0,0,1,0,0,4,31.275,0,0,1
121,2,0,21,0,0,0,1,0,2,73.5,0,0,1
122,3,0,29,0,0,0,1,0,0,8.05,0,0,1
123,2,0,32,0,0,0,1,0,1,30.0708,1,0,0
124,2,1,32,0,0,1,0,0,0,13.0,0,0,1
125,1,0,54,0,0,0,1,0,0,77.2875,0,0,1
126,3,0,12,0,1,0,0,0,1,11.2417,1,0,0
127,3,0,29,0,0,0,1,0,0,7.75,0,1,0
128,3,0,24,0,0,0,1,0,0,7.1417,0,0,1
129,3,1,29,0,0,1,0,0,1,22.3583,1,0,0
130,3,0,45,0,0,0,1,0,0,6.975,0,0,1
131,3,0,33,0,0,0,1,0,0,7.8958,1,0,0
132,3,0,20,0,0,0,1,0,0,7.05,0,0,1
133,3,1,47,0,0,0,0,1,1,14.5,0,0,1
134,2,1,29,0,0,0,0,1,1,26.0,0,0,1
135,2,0,25,0,0,0,1,0,0,13.0,0,0,1
136,2,0,23,0,0,0,1,0,0,15.0458,1,0,0
137,1,1,19,0,0,1,0,0,0,26.2833,0,0,1
138,1,0,37,0,0,0,1,0,1,53.1,0,0,1
139,3,0,16,0,0,0,1,0,0,9.2167,0,0,1
140,1,0,24,0,0,0,1,0,0,79.2,1,0,0
141,3,1,29,0,0,0,0,1,0,15.2458,1,0,0
142,3,1,22,0,0,1,0,0,0,7.75,0,0,1
143,3,1,24,0,0,0,0,1,1,15.85,0,0,1
144,3,0,19,0,0,0,1,0,0,6.75,0,1,0
145,2,0,18,0,0,0,1,0,0,11.5,0,0,1
146,2,0,19,0,0,0,1,0,1,36.75,0,0,1
147,3,0,27,0,0,0,1,0,0,7.7958,0,0,1
148,3,1,9,0,0,1,0,0,2,34.375,0,0,1
149,2,0,36,0,0,0,1,0,0,26.0,0,0,1
150,2,0,42,0,0,0,0,0,0,13.0,0,0,1
151,2,0,51,0,0,0,0,0,0,12.525,0,0,1
152,1,1,22,0,0,0,0,1,1,66.6,0,0,1
153,3,0,55,0,0,0,1,0,0,8.05,0,0,1
154,3,0,40,0,0,0,1,0,0,14.5,0,0,1
155,3,0,29,0,0,0,1,0,0,7.3125,0,0,1
156,1,0,51,0,0,0,1,0,0,61.3792,1,0,0
157,3,1,16,0,0,1,0,0,0,7.7333,0,1,0
158,3,0,30,0,0,0,1,0,0,8.05,0,0,1
159,3,0,29,0,0,0,1,0,0,8.6625,0,0,1
160,3,0,29,0,1,0,0,0,8,69.55,0,0,1
161,3,0,44,0,0,0,1,0,0,16.1,0,0,1
162,2,1,40,0,0,0,0,1,0,15.75,0,0,1
163,3,0,26,0,0,0,1,0,0,7.775,0,0,1
164,3,0,17,0,0,0,1,0,0,8.6625,0,0,1
165,3,0,1,0,1,0,0,0,4,39.6875,0,0,1
166,3,0,9,0,1,0,0,0,0,20.525,0,0,1
167,1,1,29,0,0,0,0,1,0,55.0,0,0,1
168,3,1,45,0,0,0,0,1,1,27.9,0,0,1
169,1,0,29,0,0,0,1,0,0,25.925,0,0,1
170,3,0,28,0,0,0,1,0,0,56.4958,0,0,1
171,1,0,61,0,0,0,1,0,0,33.5,0,0,1
172,3,0,4,0,1,0,0,0,4,29.125,0,1,0
173,3,1,1,0,0,1,0,0,1,11.1333,0,0,1
174,3,0,21,0,0,0,1,0,0,7.925,0,0,1
175,1,0,56,0,0,0,1,0,0,30.6958,1,0,0
176,3,0,18,0,0,0,1,0,1,7.8542,0,0,1
177,3,0,29,0,1,0,0,0,3,25.4667,0,0,1
178,1,1,50,0,0,1,0,0,0,28.7125,1,0,0
179,2,0,30,0,0,0,1,0,0,13.0,0,0,1
180,3,0,36,0,0,0,1,0,0,0.0,0,0,1
181,3,1,29,0,0,1,0,0,8,69.55,0,0,1
182,2,0,29,0,0,0,1,0,0,15.05,1,0,0
183,3,0,9,0,1,0,0,0,4,31.3875,0,0,1
184,2,0,1,0,1,0,0,0,2,39.0,0,0,1
185,3,1,4,0,0,1,0,0,0,22.025,0,0,1
186,1,0,29,0,0,0,1,0,0,50.0,0,0,1
187,3,1,29,0,0,0,0,1,1,15.5,0,1,0
188,1,0,45,0,0,0,1,0,0,26.55,0,0,1
189,3,0,40,0,0,0,1,0,1,15.5,0,1,0
190,3,0,36,0,0,0,1,0,0,7.8958,0,0,1
191,2,1,32,0,0,0,0,1,0,13.0,0,0,1
192,2,0,19,0,0,0,1,0,0,13.0,0,0,1
193,3,1,19,0,0,1,0,0,1,7.8542,0,0,1
194,2,0,3,0,1,0,0,0,1,26.0,0,0,1
195,1,1,44,0,0,0,0,1,0,27.7208,1,0,0
196,1,1,58,0,0,1,0,0,0,146.5208,1,0,0
197,3,0,29,0,0,0,1,0,0,7.75,0,1,0
198,3,0,42,0,0,0,1,0,0,8.4042,0,0,1
199,3,1,29,0,0,1,0,0,0,7.75,0,1,0
200,2,1,24,0,0,1,0,0,0,13.0,0,0,1
201,3,0,28,0,0,0,1,0,0,9.5,0,0,1
202,3,0,29,0,0,0,1,0,8,69.55,0,0,1
203,3,0,34,0,0,0,1,0,0,6.4958,0,0,1
204,3,0,45,0,0,0,1,0,0,7.225,1,0,0
205,3,0,18,0,0,0,1,0,0,8.05,0,0,1
206,3,1,2,0,0,1,0,0,0,10.4625,0,0,1
207,3,0,32,0,0,0,1,0,1,15.85,0,0,1
208,3,0,26,0,0,0,1,0,0,18.7875,1,0,0
209,3,1,16,0,0,1,0,0,0,7.75,0,1,0
210,1,0,40,0,0,0,1,0,0,31.0,1,0,0
211,3,0,24,0,0,0,1,0,0,7.05,0,0,1
212,2,1,35,0,0,1,0,0,0,21.0,0,0,1
213,3,0,22,0,0,0,1,0,0,7.25,0,0,1
214,2,0,30,0,0,0,1,0,0,13.0,0,0,1
215,3,0,29,0,0,0,1,0,1,7.75,0,1,0
216,1,1,31,0,0,1,0,0,1,113.275,1,0,0
217,3,1,27,0,0,1,0,0,0,7.925,0,0,1
218,2,0,42,0,0,0,1,0,1,27.0,0,0,1
219,1,1,32,0,0,1,0,0,0,76.2917,1,0,0
220,2,0,30,0,0,0,1,0,0,10.5,0,0,1
221,3,0,16,0,0,0,1,0,0,8.05,0,0,1
222,2,0,27,0,0,0,1,0,0,13.0,0,0,1
223,3,0,51,0,0,0,1,0,0,8.05,0,0,1
224,3,0,29,0,0,0,1,0,0,7.8958,0,0,1
225,1,0,38,0,0,0,1,0,1,90.0,0,0,1
226,3,0,22,0,0,0,1,0,0,9.35,0,0,1
227,2,0,19,0,0,0,1,0,0,10.5,0,0,1
228,3,0,20,0,0,0,1,0,0,7.25,0,0,1
229,2,0,18,0,0,0,1,0,0,13.0,0,0,1
230,3,1,29,0,0,1,0,0,3,25.4667,0,0,1
231,1,1,35,0,0,0,0,1,1,83.475,0,0,1
232,3,0,29,0,0,0,1,0,0,7.775,0,0,1
233,2,0,59,0,0,0,1,0,0,13.5,0,0,1
234,3,1,5,0,0,1,0,0,4,31.3875,0,0,1
235,2,0,24,0,0,0,1,0,0,10.5,0,0,1
236,3,1,29,0,0,1,0,0,0,7.55,0,0,1
237,2,0,44,0,0,0,1,0,1,26.0,0,0,1
238,2,1,8,0,0,1,0,0,0,26.25,0,0,1
239,2,0,19,0,0,0,1,0,0,10.5,0,0,1
240,2,0,33,0,0,0,1,0,0,12.275,0,0,1
241,3,1,29,0,0,1,0,0,1,14.4542,1,0,0
242,3,1,29,0,0,1,0,0,1,15.5,0,1,0
243,2,0,29,0,0,0,1,0,0,10.5,0,0,1
244,3,0,22,0,0,0,1,0,0,7.125,0,0,1
245,3,0,30,0,0,0,1,0,0,7.225,1,0,0
246,1,0,44,1,0,0,0,0,2,90.0,0,1,0
247,3,1,25,0,0,1,0,0,0,7.775,0,0,1
248,2,1,24,0,0,0,0,1,0,14.5,0,0,1
249,1,0,37,0,0,0,1,0,1,52.5542,0,0,1
250,2,0,54,0,0,0,0,0,1,26.0,0,0,1
251,3,0,29,0,0,0,1,0,0,7.25,0,0,1
252,3,1,29,0,0,0,0,1,1,10.4625,0,0,1
253,1,0,62,0,0,0,1,0,0,26.55,0,0,1
254,3,0,30,0,0,0,1,0,1,16.1,0,0,1
255,3,1,41,0,0,0,0,1,0,20.2125,0,0,1
256,3,1,29,0,0,0,0,1,0,15.2458,1,0,0
257,1,1,29,0,0,0,0,1,0,79.2,1,0,0
258,1,1,30,0,0,1,0,0,0,86.5,0,0,1
259,1,1,35,0,0,1,0,0,0,512.3292,1,0,0
260,2,1,50,0,0,0,0,1,0,26.0,0,0,1
261,3,0,29,0,0,0,1,0,0,7.75,0,1,0
262,3,0,3,0,1,0,0,0,4,31.3875,0,0,1
263,1,0,52,0,0,0,1,0,1,79.65,0,0,1
264,1,0,40,0,0,0,1,0,0,0.0,0,0,1
265,3,1,29,0,0,1,0,0,0,7.75,0,1,0
266,2,0,36,0,0,0,1,0,0,10.5,0,0,1
267,3,0,16,0,0,0,1,0,4,39.6875,0,0,1
268,3,0,25,0,0,0,1,0,1,7.775,0,0,1
269,1,1,58,0,0,0,0,1,0,153.4625,0,0,1
270,1,1,35,0,0,1,0,0,0,135.6333,0,0,1
271,1,0,29,0,0,0,1,0,0,31.0,0,0,1
272,3,0,25,0,0,0,1,0,0,0.0,0,0,1
273,2,1,41,0,0,0,0,1,0,19.5,0,0,1
274,1,0,37,0,0,0,1,0,0,29.7,1,0,0
275,3,1,29,0,0,1,0,0,0,7.75,0,1,0
276,1,1,63,0,0,1,0,0,1,77.9583,0,0,1
277,3,1,45,0,0,1,0,0,0,7.75,0,0,1
278,2,0,29,0,0,0,1,0,0,0.0,0,0,1
279,3,0,7,0,1,0,0,0,4,29.125,0,1,0
280,3,1,35,0,0,0,0,1,1,20.25,0,0,1
281,3,0,65,0,0,0,1,0,0,7.75,0,1,0
282,3,0,28,0,0,0,1,0,0,7.8542,0,0,1
283,3,0,16,0,0,0,1,0,0,9.5,0,0,1
284,3,0,19,0,0,0,1,0,0,8.05,0,0,1
285,1,0,29,0,0,0,1,0,0,26.0,0,0,1
286,3,0,33,0,0,0,1,0,0,8.6625,1,0,0
287,3,0,30,0,0,0,1,0,0,9.5,0,0,1
288,3,0,22,0,0,0,1,0,0,7.8958,0,0,1
289,2,0,42,0,0,0,1,0,0,13.0,0,0,1
290,3,1,22,0,0,1,0,0,0,7.75,0,1,0
291,1,1,26,0,0,1,0,0,0,78.85,0,0,1
292,1,1,19,0,0,0,0,1,1,91.0792,1,0,0
293,2,0,36,0,0,0,1,0,0,12.875,1,0,0
294,3,1,24,0,0,1,0,0,0,8.85,0,0,1
295,3,0,24,0,0,0,1,0,0,7.8958,0,0,1
296,1,0,29,0,0,0,1,0,0,27.7208,1,0,0
297,3,0,23,0,0,0,1,0,0,7.2292,1,0,0
298,1,1,2,0,0,1,0,0,1,151.55,0,0,1
299,1,0,29,0,0,0,1,0,0,30.5,0,0,1
300,1,1,50,0,0,0,0,1,0,247.5208,1,0,0
301,3,1,29,0,0,1,0,0,0,7.75,0,1,0
302,3,0,29,0,0,0,1,0,2,23.25,0,1,0
303,3,0,19,0,0,0,1,0,0,0.0,0,0,1
304,2,1,29,0,0,1,0,0,0,12.35,0,1,0
305,3,0,29,0,0,0,1,0,0,8.05,0,0,1
306,1,0,0,0,1,0,0,0,1,151.55,0,0,1
307,1,1,29,0,0,1,0,0,0,110.8833,1,0,0
308,1,1,17,0,0,0,0,1,1,108.9,1,0,0
309,2,0,30,0,0,0,1,0,1,24.0,1,0,0
310,1,1,30,0,0,1,0,0,0,56.9292,1,0,0
311,1,1,24,0,0,1,0,0,0,83.1583,1,0,0
312,1,1,18,0,0,1,0,0,2,262.375,1,0,0
313,2,1,26,0,0,0,0,1,1,26.0,0,0,1
314,3,0,28,0,0,0,1,0,0,7.8958,0,0,1
315,2,0,43,0,0,0,1,0,1,26.25,0,0,1
316,3,1,26,0,0,1,0,0,0,7.8542,0,0,1
317,2,1,24,0,0,0,0,1,1,26.0,0,0,1
318,2,0,54,1,0,0,0,0,0,14.0,0,0,1
319,1,1,31,0,0,1,0,0,0,164.8667,0,0,1
320,1,1,40,0,0,0,0,1,1,134.5,1,0,0
321,3,0,22,0,0,0,1,0,0,7.25,0,0,1
322,3,0,27,0,0,0,1,0,0,7.8958,0,0,1
323,2,1,30,0,0,1,0,0,0,12.35,0,1,0
324,2,1,22,0,0,0,0,1,1,29.0,0,0,1
325,3,0,29,0,0,0,1,0,8,69.55,0,0,1
326,1,1,36,0,0,1,0,0,0,135.6333,1,0,0
327,3,0,61,0,0,0,1,0,0,6.2375,0,0,1
328,2,1,36,0,0,0,0,1,0,13.0,0,0,1
329,3,1,31,0,0,0,0,1,1,20.525,0,0,1
330,1,1,16,0,0,1,0,0,0,57.9792,1,0,0
331,3,1,29,0,0,1,0,0,2,23.25,0,1,0
332,1,0,45,0,0,0,1,0,0,28.5,0,0,1
333,1,0,38,0,0,0,1,0,0,153.4625,0,0,1
334,3,0,16,0,0,0,1,0,2,18.0,0,0,1
335,1,1,29,0,0,0,0,1,1,133.65,0,0,1
336,3,0,29,0,0,0,1,0,0,7.8958,0,0,1
337,1,0,29,0,0,0,1,0,1,66.6,0,0,1
338,1,1,41,0,0,1,0,0,0,134.5,1,0,0
339,3,0,45,0,0,0,1,0,0,8.05,0,0,1
340,1,0,45,0,0,0,1,0,0,35.5,0,0,1
341,2,0,2,0,1,0,0,0,1,26.0,0,0,1
342,1,1,24,0,0,1,0,0,3,263.0,0,0,1
343,2,0,28,0,0,0,1,0,0,13.0,0,0,1
344,2,0,25,0,0,0,1,0,0,13.0,0,0,1
345,2,0,36,0,0,0,1,0,0,13.0,0,0,1
346,2,1,24,0,0,1,0,0,0,13.0,0,0,1
347,2,1,40,0,0,1,0,0,0,13.0,0,0,1
348,3,1,29,0,0,0,0,1,1,16.1,0,0,1
349,3,0,3,0,1,0,0,0,1,15.9,0,0,1
350,3,0,42,0,0,0,1,0,0,8.6625,0,0,1
351,3,0,23,0,0,0,1,0,0,9.225,0,0,1
352,1,0,29,0,0,0,1,0,0,35.0,0,0,1
353,3,0,15,0,0,0,1,0,1,7.2292,1,0,0
354,3,0,25,0,0,0,1,0,1,17.8,0,0,1
355,3,0,29,0,0,0,1,0,0,7.225,1,0,0
356,3,0,28,0,0,0,1,0,0,9.5,0,0,1
357,1,1,22,0,0,1,0,0,0,55.0,0,0,1
358,2,1,38,0,0,1,0,0,0,13.0,0,0,1
359,3,1,29,0,0,1,0,0,0,7.8792,0,1,0
360,3,1,29,0,0,1,0,0,0,7.8792,0,1,0
361,3,0,40,0,0,0,1,0,1,27.9,0,0,1
362,2,0,29,0,0,0,1,0,1,27.7208,1,0,0
363,3,1,45,0,0,0,0,1,0,14.4542,1,0,0
364,3,0,35,0,0,0,1,0,0,7.05,0,0,1
365,3,0,29,0,0,0,1,0,1,15.5,0,1,0
366,3,0,30,0,0,0,1,0,0,7.25,0,0,1
367,1,1,60,0,0,0,0,1,1,75.25,1,0,0
368,3,1,29,0,0,0,0,1,0,7.2292,1,0,0
369,3,1,29,0,0,1,0,0,0,7.75,0,1,0
370,1,1,24,0,0,0,0,0,0,69.3,1,0,0
371,1,0,25,0,0,0,1,0,1,55.4417,1,0,0
372,3,0,18,0,0,0,1,0,1,6.4958,0,0,1
373,3,0,19,0,0,0,1,0,0,8.05,0,0,1
374,1,0,22,0,0,0,1,0,0,135.6333,1,0,0
375,3,1,3,0,0,1,0,0,3,21.075,0,0,1
376,1,1,29,0,0,0,0,1,1,82.1708,1,0,0
377,3,1,22,0,0,1,0,0,0,7.25,0,0,1
378,1,0,27,0,0,0,1,0,0,211.5,1,0,0
379,3,0,20,0,0,0,1,0,0,4.0125,1,0,0
380,3,0,19,0,0,0,1,0,0,7.775,0,0,1
381,1,1,42,0,0,1,0,0,0,227.525,1,0,0
382,3,1,1,0,0,1,0,0,0,15.7417,1,0,0
383,3,0,32,0,0,0,1,0,0,7.925,0,0,1
384,1,1,35,0,0,0,0,1,1,52.0,0,0,1
385,3,0,29,0,0,0,1,0,0,7.8958,0,0,1
386,2,0,18,0,0,0,1,0,0,73.5,0,0,1
387,3,0,1,0,1,0,0,0,5,46.9,0,0,1
388,2,1,36,0,0,1,0,0,0,13.0,0,0,1
389,3,0,29,0,0,0,1,0,0,7.7292,0,1,0
390,2,1,17,0,0,1,0,0,0,12.0,1,0,0
391,1,0,36,0,0,0,1,0,1,120.0,0,0,1
392,3,0,21,0,0,0,1,0,0,7.7958,0,0,1
393,3,0,28,0,0,0,1,0,2,7.925,0,0,1
394,1,1,23,0,0,1,0,0,1,113.275,1,0,0
395,3,1,24,0,0,0,0,1,0,16.7,0,0,1
396,3,0,22,0,0,0,1,0,0,7.7958,0,0,1
397,3,1,31,0,0,1,0,0,0,7.8542,0,0,1
398,2,0,46,0,0,0,1,0,0,26.0,0,0,1
399,2,0,23,1,0,0,0,0,0,10.5,0,0,1
400,2,1,28,0,0,0,0,1,0,12.65,0,0,1
401,3,0,39,0,0,0,1,0,0,7.925,0,0,1
402,3,0,26,0,0,0,1,0,0,8.05,0,0,1
403,3,1,21,0,0,1,0,0,1,9.825,0,0,1
404,3,0,28,0,0,0,1,0,1,15.85,0,0,1
405,3,1,20,0,0,1,0,0,0,8.6625,0,0,1
406,2,0,34,0,0,0,1,0,1,21.0,0,0,1
407,3,0,51,0,0,0,1,0,0,7.75,0,0,1
408,2,0,3,0,1,0,0,0,1,18.75,0,0,1
409,3,0,21,0,0,0,1,0,0,7.775,0,0,1
410,3,1,29,0,0,1,0,0,3,25.4667,0,0,1
411,3,0,29,0,0,0,1,0,0,7.8958,0,0,1
412,3,0,29,0,0,0,1,0,0,6.8583,0,1,0
413,1,1,33,0,0,1,0,0,1,90.0,0,1,0
414,2,0,29,0,0,0,1,0,0,0.0,0,0,1
415,3,0,44,0,0,0,1,0,0,7.925,0,0,1
416,3,1,29,0,0,0,0,1,0,8.05,0,0,1
417,2,1,34,0,0,0,0,1,1,32.5,0,0,1
418,2,1,18,0,0,1,0,0,0,13.0,0,0,1
419,2,0,30,0,0,0,1,0,0,13.0,0,0,1
420,3,1,10,0,0,1,0,0,0,24.15,0,0,1
421,3,0,29,0,0,0,1,0,0,7.8958,1,0,0
422,3,0,21,0,0,0,1,0,0,7.7333,0,1,0
423,3,0,29,0,0,0,1,0,0,7.875,0,0,1
424,3,1,28,0,0,0,0,1,1,14.4,0,0,1
425,3,0,18,0,0,0,1,0,1,20.2125,0,0,1
426,3,0,29,0,0,0,1,0,0,7.25,0,0,1
427,2,1,28,0,0,0,0,1,1,26.0,0,0,1
428,2,1,19,0,0,1,0,0,0,26.0,0,0,1
429,3,0,29,0,0,0,1,0,0,7.75,0,1,0
430,3,0,32,0,0,0,1,0,0,8.05,0,0,1
431,1,0,28,0,0,0,1,0,0,26.55,0,0,1
432,3,1,29,0,0,0,0,1,1,16.1,0,0,1
433,2,1,42,0,0,0,0,1,1,26.0,0,0,1
434,3,0,17,0,0,0,1,0,0,7.125,0,0,1
435,1,0,50,0,0,0,1,0,1,55.9,0,0,1
436,1,1,14,0,0,1,0,0,1,120.0,0,0,1
437,3,1,21,0,0,1,0,0,2,34.375,0,0,1
438,2,1,24,0,0,0,0,1,2,18.75,0,0,1
439,1,0,64,0,0,0,1,0,1,263.0,0,0,1
440,2,0,31,0,0,0,1,0,0,10.5,0,0,1
441,2,1,45,0,0,0,0,1,1,26.25,0,0,1
442,3,0,20,0,0,0,1,0,0,9.5,0,0,1
443,3,0,25,0,0,0,1,0,1,7.775,0,0,1
444,2,1,28,0,0,0,0,0,0,13.0,0,0,1
445,3,0,29,0,0,0,1,0,0,8.1125,0,0,1
446,1,0,4,0,1,0,0,0,0,81.8583,0,0,1
447,2,1,13,0,0,1,0,0,0,19.5,0,0,1
448,1,0,34,0,0,0,1,0,0,26.55,0,0,1
449,3,1,5,0,0,1,0,0,2,19.2583,1,0,0
450,1,0,52,0,0,0,0,0,0,30.5,0,0,1
451,2,0,36,0,0,0,1,0,1,27.75,0,0,1
452,3,0,29,0,0,0,1,0,1,19.9667,0,0,1
453,1,0,30,0,0,0,1,0,0,27.75,1,0,0
454,1,0,49,0,0,0,1,0,1,89.1042,1,0,0
455,3,0,29,0,0,0,1,0,0,8.05,0,0,1
456,3,0,29,0,0,0,1,0,0,7.8958,1,0,0
457,1,0,65,0,0,0,1,0,0,26.55,0,0,1
