,id,title,category,depth
1672,4105,乗車券,5,1
1681,528413,ESPN,1,2
1712,4197,運賃,5,1
1798,528705,医学研究科,6,1
1872,2618865,諫早市中央体育館,1,2
2046,3150758,Template:北九州学術研究都市連携大学院,7,2
2069,2102253,Template:呼吸器系,6,2
2073,3150836,含硫アミノ酸,6,1
2082,262998,インテリジェントパワーモジュール,11,2
2111,5217,カニバリズム,8,2
2118,263015,電力用半導体素子,11,2
2195,5400,旅客輸送,5,1
2221,5454,朝食,8,2
2258,1578404,稗田峠,5,2
2271,2102720,Template:気道感染,6,2
2279,5600,ゲートターンオフサイリスタ,11,2
2295,5641,ハーブの一覧,8,2
2350,5787,経済,4,1
2378,5855,園芸,2,1
2380,5857,多神教,9,2
2384,2103013,飯吉透,7,2
2394,5884,アレルゲン,6,1
2466,2103237,Template:呼吸器疾患,6,2
2482,1019,飲料水,8,2
2601,2627829,酒入りコーヒー,8,2
2609,700118,2010年アジア競技大会,1,2
2671,6569,ボン教,9,2
2821,2104106,Template:循環器系,6,2
2835,7001,開架式図書館,7,2
2923,7264,スペースインベーダー,8,2
2972,331949,日本の食品に関する資格一覧,8,2
3022,962447,カナダの経済,4,2
3130,1580651,病害虫発生予察情報,10,2
3136,7807,イネ,8,2
3291,1056756,真空フィードスルー,11,2
3307,174855,ボトルネック,4,1
3359,2105566,宇都宮焼きそば,8,2
3430,532874,海老名市北部公園体育館,1,2
3451,8638,教育,7,1
3476,8692,芸術,2,1
3519,8779,ディスプレイ,2,1
3567,8907,教育関係人物一覧,7,2
3571,8912,学生寮,7,2
3786,3155218,ベビーカーマーク,5,1
3828,533909,阿久津正蔵,8,2
3839,1582522,神戸西本線料金所,5,2
3847,9697,生物工学,10,1
3901,9902,ファーストフード,8,1
3914,2107103,Template:心血管疾患,6,2
4196,2632151,マイアミゾンビ事件,8,2
4233,3322297,Template:Current sports event icon,1,2
4237,1225147,アリーナフットボールリーグ,1,2
4289,535299,営業係数,5,1
4327,1059712,エプーリス,10,2
4413,2632820,環境経済・政策学会,4,1
4422,2108557,Template:泌尿器系,6,2
4463,535809,過剰学習,7,2
4570,536147,真空チューブ列車,5,1
4613,12032,ビルト・イン・スタビライザー,4,1
4694,1585119,東京大学大学院農学生命科学研究科・農学部,10,2
4695,1060833,直接侵略,3,1
4697,2633701,大崎市古川体育施設,1,2
4708,401945,リードセレクタ,11,2
4811,12578,看護学,6,1
4873,1585642,体育・スポーツ関連学会一覧,1,2
4992,13121,ジャイナ教,8,2
5029,1061836,内ヘルニア,10,2
5047,1061905,大洲総合運動公園,1,2
5146,537902,宇治茶,8,2
5357,14234,異化,2,1
5358,1062813,膝瘤,10,2
5363,1062825,さく癖,10,2
5482,1400539,おはなしのくに,7,2
5515,14682,電界効果トランジスタ,11,2
5551,14764,ウォータースポーツ,1,2
5607,14914,学習塾,7,2
5615,1063507,千歳通,5,2
5630,2636405,Portal:アイスホッケー,1,2
5794,1588211,調略,3,1
5813,2636868,縦断勾配,10,2
5817,15434,変圧器,11,2
5844,2112657,Template:精神と行動の障害,6,2
5926,89995,オクラ,8,2
5946,15717,運動会,1,2
6026,15912,ビジネス,4,1
6047,15973,建築,2,1
6050,15994,軍事,3,1
6058,540317,学校法人学習院,7,2
6125,2113362,Template:腎泌尿器疾患,6,2
6146,1589128,秋田県立体育館,1,2
6148,2113423,イポーホワイトコーヒー,8,2
6162,540594,アミティー,7,2
6172,2462133,多国籍料理,8,1
6204,16399,プリント基板,11,2
6415,1589821,エスカロープ,8,2
6416,1589822,岡山市教育委員会,7,2
6430,2114150,秋田県教育委員会,7,2
6450,17057,スローフード,8,1
6456,1226184,デュプレクサ,11,2
6458,1065653,花飾学,10,2
6496,1590046,トマティーナ,8,2
6502,1641632,KEIRINグランプリ'93,1,2
6553,1065913,KEIRINグランプリ'85,1,2
6559,541636,ACアダプタ,11,2
6596,177671,学校図書館,7,2
6722,17818,喫茶店,8,2
6727,1066412,診断的麻酔法,10,2
6730,17845,香辛料,8,2
6732,1590712,アイアシェッケ,8,2
6744,542158,IPU情報システム塾,7,2
6761,1066478,間食,8,2
6864,1066821,カナディアン・フットボール・リーグ,1,2
6893,1066901,朝霞市立図書館,7,2
6894,1591195,敦賀ジャンクション,5,2
6974,2012859,フレアバーテンダーUPT,8,2
7057,2115922,茨城県教育委員会,7,2
7112,18933,巻線,11,2
7128,2640426,児童虐待事件の一覧,7,2
7690,1069155,京都大学体育会ボート部,1,2
7709,1593506,Template:MedalColor,1,2
7731,20682,受動素子,11,2
7739,20695,配線部品,11,2
7794,3061816,立山黒部ジオパーク,0,2
7876,21057,副作用,6,1
7906,3236629,クライオトロン,11,2
8025,2625016,シュガーカット (甘味料),8,2
8058,21536,利益,4,1
8110,2188147,フィンランドの経済,4,2
8150,546082,膜,6,1
8209,21975,麺,8,2
8303,22268,破産,4,1
8324,22324,菓子,8,1
8357,1624348,生命農学研究科,10,2
8375,1595341,赤たまねぎ,8,2
8423,2644072,Template:基礎情報 医薬品,6,2
8424,2644073,Template:Infobox 医薬品,6,2
8533,22905,オオムギ,8,2
8582,23023,山菜,8,2
8583,23024,野菜の一覧,8,2
8679,23242,甘味,8,2
8726,23371,トウモロコシ,8,2
8815,1139896,大瀬観光やな,8,2
8832,23675,医師,6,1
8858,23750,宇宙食,8,2
8976,24060,企業,4,1
9019,2121298,愛知県道146号奥音羽線,5,2
9037,24191,主食,8,1
9040,24197,球根,10,2
9043,24201,食品,8,2
9048,1597072,公民教育,7,2
9082,24274,ダイオード,11,2
9117,2121500,シスター・ジョセフの小結節,6,1
9147,24412,アイスコーヒー,8,2
9150,24433,西洋料理,8,2
9154,24454,セルロース,10,1
9181,2121675,象鼻杯,8,2
9274,1073326,人口可容論,0,1
9308,24814,病弱児,6,1
9340,2122033,愛知県道147号西萩原北方線,5,2
9390,25027,豆,8,2
9423,1052760,間接侵略,3,1
9436,2122304,流動食,8,2
9524,25366,貨物,5,1
9574,1598340,岡山武道館,1,2
9643,25646,宮島口駅,5,2
9759,25930,予防,6,1
9892,1599145,外国資本,4,1
9911,2123481,大越俊夫,7,2
9956,26495,学芸員,7,2
9998,26607,表定速度,5,1
10069,2123942,朝ラーメン,8,2
10079,2123964,資格者配置路線,5,2
10086,26826,美,2,1
10094,1075422,ウィニペグ・ブルーボマーズ,1,2
10110,1075453,煎り種,8,2
10269,3097225,千歳橋 (千歳市),5,2
10426,4612,抵抗器,11,2
10427,27683,ラッシュ時,5,1
10436,551993,街路灯,5,2
10493,2381452,農業マーケティング,10,1
10506,1076455,カルガリー・スタンピーダーズ,1,2
10508,1076457,エドモントン・エスキモーズ,1,2
10620,1076722,トラスト (企業形態),4,1
10735,2649864,美的情操,2,1
10775,1077100,Sweets+,8,2
10777,28526,創唱宗教,9,2
10826,28626,卸売,4,1
10904,28843,障害,6,1
10921,769118,アクエリアス フリースタイル,8,2
10949,2126150,愛知県道153号浅井清須線,5,2
11039,1315593,伊勢本線料金所,5,2
11091,1602240,大阪府教育委員会,7,2
11095,1602252,アンバサ,8,2
11139,29545,直行便,5,1
11148,29563,デザイナーベビー,6,1
11152,553858,海事教育機関,7,2
11180,29659,外国倒産処理手続,4,1
11238,29807,航路,5,1
11276,29876,コンピュータ・リテラシー,7,2
11326,1078595,学校裏サイト,7,2
11352,30078,エイトボール,1,2
11391,2801235,ウェスタンステイツ・エンデュランスラン,1,2
11494,30438,サーミスタ,11,2
11635,2652189,山本敬,8,2
11681,30842,交通弱者,5,1
11690,30860,モータリゼーション,5,1
11821,31165,物流,4,1
11822,31167,貿易,4,1
11830,1079761,蔚山総合運動場,1,2
11944,616910,玉竜旗全国高等学校剣道大会,1,2
12032,2888867,おおいた姫島ジオパーク,0,2
12034,1604568,Template:チームや団体の略称,1,2
12063,180060,ナプキン,8,2
12108,966512,片柳鴻,7,2
12159,1080593,石巻市総合運動公園,1,2
12201,2129265,奥アンツーカ,1,2
12230,2129364,ラ・カハ・マヒカ,1,2
12250,1053952,イラブー汁,8,2
12258,879195,多文化教育,7,2
12299,2129542,Directors TV,5,1
12400,5443,断食,8,2
12401,2654104,ボーダーゲート,5,2
12402,1081250,学校法人千代田学園 (大阪府),7,2
12418,1081278,学校法人千代田学園 (東京都),7,2
12436,966655,祖先崇拝,9,2
12461,32819,会計,4,1
12465,1605689,宇宙大作戦チョコベーダー,8,2
12484,180240,Portal:スポーツ,1,1
12508,2375395,前肢,10,2
12642,5540,アーリオ・オリオ・ペペロンチーノ,8,2
12763,5601,絶縁ゲートバイポーラトランジスタ,11,2
12835,33814,カフェイン,8,2
12881,180417,水産学,10,1
12965,34132,キメラ,6,1
13054,1607201,手信号,5,2
13080,34412,バリスタ (電子部品),11,2
13198,1607608,農学研究科,10,2
13201,1607611,自然科学研究科,10,2
13234,1607674,兵庫県立淡路景観園芸学校,10,2
13299,2656435,伊豆半島ジオパーク,0,2
13425,2656788,Ahill,8,2
13482,140846,蒲郡競艇場,1,2
13650,1608768,石川県教育委員会,7,2
13657,2657368,検食,8,2
13805,2657767,ドギーバッグ,8,1
13816,2657782,臀肉事件,8,2
13953,1609521,アンシュッツ・エンターテイメント・グループ,1,2
13955,2133813,うずみ,8,2
13990,2658199,生物系統地理学,0,1
14039,561159,清算,4,1
14054,36915,高坂サービスエリア,5,2
14055,36918,三芳パーキングエリア,5,2
14184,37254,商品,4,1
14191,37268,クオリティ・オブ・ライフ,6,1
14202,1085873,伊良部大橋,5,2
14234,1610232,岡山県教育委員会,7,2
14247,1753859,日本フラワーデザイン専門学校,10,2
14264,1013815,血色素尿症,10,2
14300,1753881,文理ランドスケープ園芸専門学校,10,2
14301,561817,2007年夏季ユニバーシアード,1,2
14332,2550132,IRTジャパン,1,2
14333,1086186,オランダ スポーツマンオブザイヤー,1,2
14353,1610546,エスキーテニス,1,2
14365,880101,禁葷食,8,2
14370,37739,学校法人,7,2
14423,562173,Uターン,5,1
14506,2135258,Template:ウィキプロジェクト スポーツ,1,2
14535,1611042,闘茶,8,2
14538,38186,月山湖パーキングエリア,5,2
14558,1086809,心嚢水,10,2
14644,2659856,インターナショナル・ボウリング・チャンピオンシップ 2012,1,2
14755,38669,メイド喫茶,8,2
14783,2660185,インターナショナル・ボウリング・チャンピオンシップ 2013,1,2
14910,1611939,厚木シロコロ・ホルモン,8,2
14936,39128,資源,4,1
14981,1612077,エル・エー,7,2
15043,1087943,ユーレイル,5,1
15252,39836,ベジタリアニズム,8,2
15443,40276,徳光パーキングエリア,5,2
15446,40282,流杉パーキングエリア,5,2
15453,40295,妙高サービスエリア,5,2
15459,2137460,重迫病,6,1
15465,618389,ピックアップ (楽器),11,2
15484,1088943,プロジェクト:フィギュアスケート,1,2
15637,1841801,いなだ豆,8,2
15686,40852,農薬,8,2
15765,565342,ニキシー管,11,2
15769,41076,マグカップ,8,2
15794,565413,市川市スポーツセンター,1,2
15803,565435,博士（農学）,10,1
15827,565483,岩城インターチェンジ,5,2
15848,1614103,GBDe,4,1
15853,41248,開幕戦,1,2
15859,2138410,オストカーカ,8,2
15869,565560,Template:Digestive system,6,2
15896,2016661,交配,10,2
15909,1614249,赤芽球,6,1
15913,565683,Template:Nervous system,6,2
15970,41527,都市内輸送,5,1
16026,41676,昆虫学,10,2
16203,42106,乗り継ぎ料金制度,5,1
16223,2139313,高杉さん家のおべんとう,0,1
16310,1615239,英記茶荘,8,2
16438,2664087,ヴァンセーヌ,8,2
16443,1615520,学校法人宇部学園,7,2
16451,42674,牛車,5,2
16452,3327603,ディップ (調味料),8,2
16502,42778,プロジェクト:軍事,3,1
16514,1091378,食物依存性運動誘発性アナフィラキシー,8,2
16516,1091381,口腔アレルギー症候群,8,2
16532,1615702,芝居茶屋,8,2
16551,2140027,愛知県道128号給父清須線,5,2
16552,2140028,愛知県道121号津島稲沢線,5,2
16575,567199,飛鳥鍋,8,2
16642,1615936,Template:ロンドンの交通,5,2
16766,1616278,カーチェイス,5,1
16804,3189267,アクアラング,1,2
16854,2140820,Template:神経心理学,6,2
16964,2061516,新日本石油,5,2
17007,2672552,ニューヨーク市地下鉄N系統,5,2
17013,2141184,Portal:教育/主要記事とカテゴリ,7,2
17029,2141213,Portal:教育/はじめに,7,2
17066,2141328,Portal:教育/査読・整理依頼,7,2
17067,2141331,Portal:教育/翻訳依頼,7,2
17068,44180,汎用ロジックIC,11,2
17141,2141512,Portal:教育/外部リンク,7,2
17218,44616,学校法人総持学園,7,2
17289,2141975,おやじの会,7,2
17305,1093460,大阪市立港スポーツセンター,1,2
17321,3190667,ICC U19クリケット・ワールドカップ,1,2
17328,2666396,住育,7,2
17334,2666413,酒マッサージ,6,1
17351,706551,プロジェクト:バスケットボール,1,2
17450,1618064,北九州市立総合体育館,1,2
17515,569639,2005年の教育,7,2
17523,569665,2006年の教育,7,2
17538,1618292,ハン・ファン・メーヘレン,2,1
17563,2192117,グルーミング,10,2
17598,1618446,オカンアート,2,1
17633,569955,ドリンクバー,8,2
17695,45797,自然地理学,0,1
17728,570166,巌谷賀子,8,2
17760,1618809,Template:Field hockey kit,1,2
17812,46054,泉インターチェンジ,5,2
17920,2143467,島原半島ジオパーク,0,2
17924,2143472,洞爺湖有珠山ジオパーク,0,2
17929,46332,脱学校論,7,1
17955,570660,ウェイター,8,2
17972,2143566,アポイ岳ジオパーク,0,2
17980,2143595,南アルプス（中央構造線エリア）ジオパーク,0,2
17983,7742,一神教,9,2
17990,7746,単一神教,9,2
17997,7751,拝一神教,9,2
18000,2143665,恐竜渓谷ふくい勝山ジオパーク,0,2
18001,46515,日本の経済,4,2
18023,2143723,天草御所浦ジオパーク,0,2
18063,1619543,会計ファイナンス学部,7,2
18118,1842807,白瀬峠,5,2
18184,2668397,プロタンディム,8,2
18369,1620323,Template:終脳,6,2
18394,1620360,ICE BOX,8,2
18515,47776,民族宗教,9,2
18525,1096378,農業害虫,10,1
18533,619639,学校法人専修大学,7,2
18595,47983,白内障,10,2
18666,1621035,Template:大脳基底核,6,2
18789,572760,食べ放題,8,2
18855,572890,ハウスダスト,6,1
18919,48723,今川焼き,8,2
18925,1097318,イランの経済,4,2
19027,48995,NFLヨーロッパ,1,2
19051,1621912,学問の一覧,7,2
19073,49105,世界宗教,9,2
19077,2146263,交通整理,5,1
19100,2670620,三橋淳 (農学者),8,2
19140,49274,通貨の一覧,4,2
19189,2146521,アレナ・メヒコ,1,2
19231,1622333,水界隧道,5,2
19348,1098423,学校法人佼成学園,7,2
19399,2671390,ニューヨーク市地下鉄4系統,5,2
19402,2671396,ニューヨーク市地下鉄5系統,5,2
19407,574254,ウォーキングトレーナー,1,2
19469,574413,アトランタ・フルトン・カウンティ・スタジアム,1,2
19475,2671575,ニューヨーク市地下鉄7系統,5,2
19488,2671610,UCIワールドツアー2013,1,2
19595,2671836,Template:NYC-transport-stub,5,2
19610,2671890,ニューヨーク市地下鉄A系統,5,2
19627,2671935,ニューヨーク市地下鉄E系統,5,2
19629,2671938,ニューヨーク市地下鉄C系統,5,2
19639,2671956,ニューヨーク市地下鉄B系統,5,2
19642,2671961,ニューヨーク市地下鉄D系統,5,2
19644,2671969,ニューヨーク市地下鉄F系統,5,2
19667,707482,学校法人静岡雙葉学園,7,2
19719,2672159,ニューヨーク市地下鉄M系統,5,2
19797,50903,連絡運輸,5,1
19801,2148061,学校法人川島学園 (鹿児島県),7,2
19806,2717310,伊勢いも,8,2
19833,2672422,ニューヨーク市地下鉄G系統,5,2
19877,2672529,ニューヨーク市地下鉄L系統,5,2
19878,2672530,アヴィレ,5,2
19887,2672558,ニューヨーク市地下鉄Q系統,5,2
19888,2672563,ニューヨーク市地下鉄R系統,5,2
19889,2672568,ニューヨーク市地下鉄J・Z系統,5,2
19901,8528,固体撮像素子,11,2
19902,1099750,学校法人宇治学園,7,2
19910,1624080,Template:Winners,1,2
19949,1099899,台湾の経済,4,2
19980,1624281,農学生命科学研究科,10,2
20016,2672924,青丹よし,8,2
20227,183429,肖像,2,1
20263,3503934,アジアボート選手権,1,2
20289,3197876,専門学校ESPミュージカルアカデミー,7,2
20313,52190,神奈川県立体育センター,1,2
20315,3197920,上代淑,7,2
20317,2673637,可変抵抗器,11,2
20321,2673648,42丁目シャトル,5,2
20326,2673660,フランクリン街シャトル,5,2
20329,2673665,ロッカウェイ・パーク・シャトル,5,2
20519,1625521,イスト (企業),7,2
20581,8797,コムギ,8,2
20679,1581699,九十九廻坂,5,2
20682,707887,梅ヶ枝餅,8,2
20771,53171,育種学,10,1
20839,2150508,えび道楽,8,2
20841,1319613,文科,7,1
20858,53398,農学部,10,2
20879,1626318,芸術工学研究科,2,2
20920,1798527,地理教育,0,1
20974,53637,神秘主義,9,2
21082,2717809,韓国地名学会,0,1
21110,1102572,Template:ミネラルウォーター,8,2
21156,54088,ムーサ,2,1
21178,54146,昼食,8,2
21179,54152,夕食,8,2
21420,2676217,ESADE,7,2
21423,1627650,磯部せんべい,8,2
21634,2152486,揚げ足鳥,8,2
21716,55549,学年制と単位制,7,2
21722,1104145,KEIRINグランプリ'87,1,2
21821,184063,レスボス島,0,2
21870,2677365,大島流,1,2
21973,2153322,学校法人創志学園,7,2
22036,580568,オービックシーガルズ,1,2
22042,580578,プロジェクト:相撲,1,2
22061,1629197,イートイン,8,2
22102,2677884,地名集,0,1
22168,3202384,無鑑査,2,1
22216,3202478,Template:Captain,1,2
22357,57104,手話での教育を行うフリースクール,7,2
22426,581561,江守記念星置スケート場,1,2
22489,1105998,金華山ドライブウェイ,5,2
22601,57726,青森東インターチェンジ,5,2
22635,9632,延長戦,1,2
22655,1630707,計算機科学教育,7,2
22661,1106439,ドイツの経済,4,2
22699,57962,石のスープ,8,2
22711,582279,エロティカ,2,1
22717,2155172,スパルタ教育,7,1
22744,708733,Template:Sportsyearcat,1,2
22768,2194227,雑種第一代,10,2
22878,58396,アーチェリー,1,2
22894,58432,カロリー,8,1
22913,2679914,沖縄市陸上競技場,1,2
22975,1107221,Template:MedalCompetition,1,2
22991,1107271,ウォーターダッシュ,1,2
22997,58707,インドアアーチェリー,1,2
23200,1107789,学校法人筑波研究学園,7,2
23351,583843,ファシリテーター,7,1
23353,2681000,コルプス (博物館),6,1
23425,1632595,伝統野菜,8,1
23452,1108371,アショア,8,2
23458,2156959,親里競技場,1,2
23490,9983,法医学,6,1
23625,584459,オーバーラップ (スポーツ),1,2
23684,1633183,学校法人鹿児島純心女子学園,7,2
23779,60584,終端抵抗,11,2
23783,60591,旬,8,1
23804,1109217,ラート級一覧,1,2
23828,60694,牧畜,10,1
23897,585156,海図,5,1
23899,60870,公共交通機関,5,1
23908,585173,個食,8,2
23910,585176,孤食,8,2
23922,585203,学校法人東京医科大学,7,2
23970,585323,昼間点灯,5,1
23989,61073,福井インターチェンジ,5,2
23990,61076,福井北ジャンクション・インターチェンジ,5,2
24013,61120,刈羽パーキングエリア,5,2
24015,61122,長岡インターチェンジ,5,2
24019,61127,新潟西インターチェンジ,5,2
24027,61141,郡上八幡インターチェンジ,5,2
24038,585459,ペプトン,6,1
24240,585917,学校法人聖心学園,7,2
24249,2683099,ウズベキスタンのスポーツ,1,2
24307,1110395,グリーンGDP,4,1
24314,2683270,NWAタッグ・リーグ戦,1,2
24347,2107468,天才,7,1
24350,3207633,アロス・ネグロ,8,2
24357,621989,獣医師国家試験,10,2
24409,62039,米原ジャンクション,5,2
24411,62043,西山インターチェンジ (新潟県),5,2
24414,62049,一宮ジャンクション,5,2
24444,2683554,アジアのスポーツ,1,2
24500,62273,松山インターチェンジ (愛媛県),5,2
24502,62276,ポリフェノール,8,2
24690,2159853,熊本市営バス坪井営業所,5,2
24715,2159909,エスプレット (トウガラシ),8,2
24784,3208646,アジア太平洋ジオパークネットワーク,0,2
24814,62989,江戸むらさき,8,2
24934,63295,学級新聞,7,2
24954,1111916,デューディリジェンス,4,1
24991,1111994,プロジェクト:生命科学,6,2
25016,3209185,2007年J1最終節,1,2
25037,63503,2004年の教育,7,2
25088,1636475,芋羊羹,8,2
25115,587956,学校法人星美学園,7,2
25189,588112,Navio,7,2
25236,447561,ソビエト連邦の経済,4,2
25292,1112627,エーラス・ダンロス症候群,10,2
25324,1112685,イスラム教における飲酒,8,2
25358,3209937,100円朝食,8,2
25407,64304,配線用差込接続器,11,2
25446,588692,学校法人共立女子学園,7,2
25470,64459,現金,4,1
25490,2685957,強制摂食,8,2
25598,797226,競技ダンス,1,2
25721,65066,都市交通工学,5,2
25725,65078,学生証,7,2
25731,1637957,寝酒,8,2
25831,65353,中郷インターチェンジ,5,2
25854,2457576,日本農業実践学園,10,2
25856,65399,柏インターチェンジ,5,2
25883,1114044,女川町総合運動公園,1,2
25936,3211356,WINGS FOR LIFE WORLD RUN,1,2
25963,1638572,KEIRINグランプリ'88,1,2
25967,1114298,大井ふ頭中央海浜公園スポーツの森第二球技場,1,2
25982,1638633,KEIRINグランプリ'92,1,2
26076,65986,漫画喫茶,8,2
26093,1114591,Template:MedalCountry,1,2
26240,3212210,利用者:てげき/sandbox,2,1
26271,3212320,遺産の商品化,4,1
26315,66716,医化学,6,2
26324,2163894,安戸トンネル,5,2
26396,1059734,精上皮腫,10,2
26460,591424,私教育,7,1
26568,591688,産卵管,10,2
26571,591693,学校法人東京聖徳学園,7,2
26583,67440,館林インターチェンジ,5,2
26590,67458,表現技法,2,1
26744,1640738,ウールシュポルト,1,2
26802,68032,チーズの一覧,8,2
26811,68054,加須インターチェンジ,5,2
26812,68056,久喜インターチェンジ,5,2
26817,68075,津川インターチェンジ,5,2
26851,2165314,イーズアカデミー,7,2
26932,3214129,利用者:X-menamaion/sandbox,1,2
27016,1641506,延長別トンネルの一覧,5,2
27055,68759,高松中央インターチェンジ,5,2
27069,3214533,巌流島 (格闘技団体),1,2
27137,68944,宇都宮インターチェンジ,5,2
27139,68949,郡山インターチェンジ (福島県),5,2
27154,68999,車道,5,2
27156,2166157,シャントレギュレータ,11,2
27210,3506779,落果,10,1
27227,1642066,プロジェクト:獣医学,10,2
27283,69327,所沢インターチェンジ,5,2
27372,69534,リース,4,1
27536,594213,現行通貨の一覧,4,2
27540,1147613,オクトーバーフェスト,8,2
27703,1643227,淡平,8,2
27725,594711,科学と学習,7,2
27898,1643736,アマレッティ,8,2
27995,1119699,交通に関する日本一の一覧,5,2
28114,1644300,学校法人光星学院,7,2
28129,595763,Template:生殖器系,6,2
28236,596035,フレキシブルプリント基板,11,2
28276,2169003,粗,8,2
28460,3218023,スポーツにおけるユダヤ系の人物,1,2
28524,72466,2003年の教育,7,2
28589,211915,Portal:鉄道,5,2
28703,3218580,ダッシュダイエット,8,2
28731,805500,遺伝子マーカー,10,2
28735,72941,遺伝子工学,10,2
28770,1121598,学校法人城星学園,7,2
28783,597352,エキシビション・スタジアム,1,2
28830,1646062,アリコ (料理),8,2
28836,2694658,アヒージョ,8,2
28846,73243,呉港,5,2
28863,1646138,マレイン反応,10,2
28892,597605,機内食,8,2
28903,1121910,人間力,7,1
28926,623901,M&M's,8,2
28964,1122068,女大学,7,2
28989,597833,エコール・サントラル,7,2
29010,2170758,インターネット予備校,7,2
29075,73755,60メートルハードル,1,2
29152,73908,東部湯の丸インターチェンジ,5,2
29189,74019,教育関係記事一覧,7,2
29280,74223,渋川伊香保インターチェンジ,5,2
29281,74227,昭和インターチェンジ,5,2
29284,74234,水上インターチェンジ,5,2
29287,74238,栃木インターチェンジ,5,2
29290,74242,鹿沼インターチェンジ,5,2
29291,74243,矢板インターチェンジ,5,2
29328,1647202,ホール・ランゲージ,7,2
29329,74340,秋休み,7,2
29389,2171613,学校法人智香寺学園,7,2
29410,598804,えびすボウル,1,2
29541,74878,仙台南インターチェンジ,5,2
29550,74919,安代ジャンクション,5,2
29568,599251,ピンポンパンゲーム,8,2
29654,3220921,ルーカス批判,4,1
29749,75433,酔っ払い,8,2
29879,600017,笑っちゃいけないゲーム,8,2
29912,75817,保護者,7,1
30038,3221824,Template:耳の病気,6,2
30065,1649013,奥薗壽子,8,2
30128,3222045,2020年東京オリンピック・パラリンピック文化プログラム,2,1
30159,2173537,合わせ羊羹,8,2
30185,3222176,通行税,5,1
30325,601043,学校法人駒澤学園,7,2
30339,1125359,シュガーレス,8,2
30352,601110,えのころ飯,8,2
30410,76964,仙台宮城インターチェンジ,5,2
30470,2174247,アドミラルフットウェア,1,2
30481,2174273,うどんぎょうざ,8,2
30505,77173,オオバゲッキツ,8,2
30507,77175,五香粉,8,2
30527,624538,繭,10,2
30549,3223006,需要ショック,4,1
30551,2174437,Template:各年の交通,5,2
30615,601753,在野,7,1
30627,2174645,Template:各年の教育,7,2
30815,3223649,味の大王,8,2
30904,602398,人権教育,7,2
30962,2022813,UCIヨーロッパツアー2009-2010,1,2
30964,3223999,オムニチャネル,4,1
30976,2175474,揚げかまぼこ,8,2
31039,3224219,45度線分析,4,1
31043,78502,村田インターチェンジ,5,2
31100,602921,転作,10,1
31120,1651541,服育,7,2
31162,1127374,Ena (予備校),7,2
31282,1127675,フィンガーボウル,8,1
31316,79161,クラブ活動,7,1
31318,603455,2001年夏季ユニバーシアード,1,2
31327,603469,1985年夏季ユニバーシアード,1,2
31333,603483,1967年夏季ユニバーシアード,1,2
31433,79435,甘納豆,8,2
31643,1652788,メモリスタ,11,2
31677,3225723,2-イソブチル-3-メトキシピラジン,8,2
31708,1652945,機能的非識字,7,2
31710,3246458,えび豆,8,2
31729,1653004,KEIRINグランプリ'94,1,2
31732,1653010,KEIRINグランプリ'95,1,2
31889,3226241,Template:勝率,1,2
31946,3226397,グリーンコーヒー,8,2
32086,1653820,AAMIスタジアム,1,2
32111,1653877,KEIRINグランプリ'97,1,2
32118,1653891,KEIRINグランプリ'98,1,2
32125,1129618,ITTO個別指導学院,7,2
